,person_id,age,sex,household_id,workplace_id,district_id,economic_status,school_goers
340408,340408,30,Female,84231000.0,45_student_25,45,student,0
52974,52974,22,Male,13555000.0,5_student_79,5,student,0
365290,365290,1,Female,90359000.0,none,49,inactive,0
509676,509676,60,Male,125199000.0,37_informal_petty_trade_3,37,informal_petty_trade,0
415529,415529,33,Male,102200000.0,56_subsistence_ag_17,56,subsistence_ag,0
584096,584096,5,Male,144438000.0,none,2,inactive,0
30222,30222,49,Female,7980000.0,1_student_49,1,student,0
189241,189241,33,Female,47262000.0,18_ag_estates_6,18,ag_estates,0
26792,26792,6,Male,7133000.0,none,1,inactive,0
402895,402895,19,Male,99301000.0,55_subsistence_ag_66,55,subsistence_ag,0
162321,162321,3,Female,40446000.0,none,16,inactive,0
485616,485616,5,Female,119341000.0,none,34,inactive,0
308409,308409,20,Female,76715000.0,none,26,unemployed_not_ag,0
36636,36636,12,Female,9579000.0,3_student_81,3,student,1
641613,641613,30,Male,159271000.0,40_manu_mining_trades_10,40,manu_mining_trades,0
625316,625316,58,Male,154951000.0,2_transport_sector_8,2,transport_sector,0
211611,211611,0,Male,52999000.0,none,21,inactive,0
364753,364753,4,Female,90202000.0,none,48,inactive,0
167208,167208,24,Female,41598000.0,12_subsistence_ag_367,12,subsistence_ag,0
228075,228075,15,Female,57174000.0,24_manu_mining_trades_5,24,manu_mining_trades,0
324507,324507,2,Male,80702000.0,none,41,inactive,0
590294,590294,76,Male,146007000.0,2_student_102,2,student,0
243532,243532,7,Male,61070000.0,none,26,inactive,0
636077,636077,6,Male,157936000.0,none,2,inactive,0
314512,314512,12,Female,78328000.0,39_student_62,39,student,1
580220,580220,23,Female,143451000.0,2_informal_petty_trade_246,2,informal_petty_trade,0
21395,21395,27,Male,5767000.0,1_manu_mining_trades_103,1,manu_mining_trades,0
152575,152575,8,Female,38061000.0,none,14,inactive,0
570070,570070,19,Female,140772000.0,2_service_retail_115,2,service_retail,0
481030,481030,63,Male,118309000.0,34_subsistence_ag_107,34,subsistence_ag,0
528591,528591,16,Female,129582000.0,36_student_36,36,student,1
200465,200465,3,Male,50202000.0,none,20,inactive,0
414321,414321,19,Male,101897000.0,none,56,unemployed_not_ag,0
631631,631631,18,Female,156668000.0,2_student_577,2,student,1
325944,325944,25,Male,81046000.0,42_student_21,42,student,0
423667,423667,10,Male,104118000.0,57_student_79,57,student,1
469400,469400,50,Male,115411000.0,33_subsistence_ag_741,33,subsistence_ag,0
458850,458850,31,Male,112896000.0,59_other_1,59,other,0
238053,238053,3,Female,59714000.0,none,26,inactive,0
203888,203888,12,Male,51063000.0,20_student_12,20,student,1
566917,566917,16,Female,140004000.0,2_student_593,2,student,1
181696,181696,3,Female,45268000.0,none,18,inactive,0
309231,309231,7,Female,76931000.0,none,26,inactive,0
353760,353760,29,Male,87608000.0,none,47,unemployed_not_ag,0
264328,264328,38,Female,65935000.0,28_office_worker_1,28,office_worker,0
29365,29365,13,Female,7753000.0,1_student_28,1,student,1
573882,573882,40,Female,141803000.0,2_service_retail_124,2,service_retail,0
410745,410745,4,Male,101032000.0,none,55,inactive,0
106948,106948,60,Female,26817000.0,7_informal_petty_trade_94,7,informal_petty_trade,0
605093,605093,22,Male,149841000.0,none,2,unemployed_not_ag,0
386781,386781,4,Male,95729000.0,none,54,inactive,0
109823,109823,37,Female,27544000.0,7_student_83,7,student,0
292538,292538,26,Female,72644000.0,28_subsistence_ag_286,28,subsistence_ag,0
451290,451290,17,Female,110862000.0,none,57,unemployed_not_ag,0
648327,648327,47,Male,160630000.0,7_education_9,7,education,0
329615,329615,5,Female,81830000.0,none,43,inactive,0
82740,82740,30,Female,20599000.0,none,7,unemployed_not_ag,0
106298,106298,2,Male,26651000.0,none,7,inactive,0
29689,29689,9,Female,7835000.0,none,1,inactive,0
386775,386775,9,Female,95728000.0,none,54,inactive,0
230368,230368,7,Male,57728000.0,none,24,inactive,0
363923,363923,65,Female,89979000.0,48_student_3,48,student,0
603991,603991,3,Male,149553000.0,none,2,inactive,0
575707,575707,27,Male,142284000.0,2_other_66,2,other,0
604627,604627,62,Female,149722000.0,2_informal_petty_trade_282,2,informal_petty_trade,0
128754,128754,22,Female,32260000.0,12_subsistence_ag_17,12,subsistence_ag,0
44652,44652,17,Male,11454000.0,4_student_4,4,student,1
68131,68131,39,Male,17067000.0,6_subsistence_ag_106,6,subsistence_ag,0
479665,479665,15,Male,117940000.0,none,33,unemployed_not_ag,0
8447,8447,56,Female,2346000.0,none,1,unemployed_not_ag,0
259847,259847,12,Male,64859000.0,27_student_95,27,student,1
144592,144592,0,Female,36182000.0,none,13,inactive,0
627031,627031,5,Male,155385000.0,none,2,inactive,0
13250,13250,10,Male,3630000.0,1_student_195,1,student,1
97935,97935,19,Male,24442000.0,8_student_19,8,student,1
72273,72273,24,Female,18092000.0,6_subsistence_ag_458,6,subsistence_ag,0
552802,552802,7,Female,136269000.0,none,2,inactive,0
422822,422822,53,Female,103928000.0,57_subsistence_ag_292,57,subsistence_ag,0
196834,196834,0,Female,49258000.0,none,19,inactive,0
482499,482499,30,Female,118643000.0,34_subsistence_ag_440,34,subsistence_ag,0
141965,141965,50,Female,35533000.0,13_subsistence_ag_477,13,subsistence_ag,0
424163,424163,22,Female,104245000.0,57_student_41,57,student,0
276168,276168,40,Male,68688000.0,31_student_66,31,student,1
14246,14246,39,Male,3898000.0,1_office_worker_15,1,office_worker,0
78771,78771,33,Female,19674000.0,7_student_11,7,student,0
372204,372204,42,Female,91964000.0,51_other_5,51,other,0
123563,123563,30,Male,31040000.0,11_subsistence_ag_130,11,subsistence_ag,0
189993,189993,14,Female,47468000.0,25_student_6,25,student,1
106443,106443,26,Male,26694000.0,7_student_110,7,student,1
452646,452646,23,Male,111201000.0,none,57,unemployed_not_ag,0
263910,263910,36,Male,65821000.0,28_other_6,28,other,0
633165,633165,23,Female,157086000.0,2_student_134,2,student,0
515821,515821,10,Male,126534000.0,37_student_38,37,student,1
241289,241289,25,Female,60514000.0,26_student_45,26,student,0
85969,85969,38,Female,21371000.0,7_subsistence_ag_632,7,subsistence_ag,0
227461,227461,11,Male,57021000.0,24_student_5,24,student,1
423329,423329,38,Male,104042000.0,57_manu_mining_trades_53,57,manu_mining_trades,0
111091,111091,15,Male,27866000.0,7_student_93,7,student,1
375274,375274,5,Male,92704000.0,none,52,inactive,0
496777,496777,11,Male,122079000.0,35_student_18,35,student,1
236557,236557,9,Male,59336000.0,none,18,inactive,0
47342,47342,2,Female,12140000.0,none,4,inactive,0
594831,594831,24,Male,147197000.0,2_service_retail_46,2,service_retail,0
